Test,Parameters,PostgreSQL Avg (s),PostgreSQL Min (s),PostgreSQL Max (s),PostgreSQL Std (s),MongoDB Avg (s),MongoDB Min (s),MongoDB Max (s),MongoDB Std (s)
basic_read,{'limit': 1000},0.8740510940551758,0.17235589027404785,2.3416318893432617,0.8834328023318437,0.7978307723999023,0.6341331005096436,1.0468237400054932,0.17957881520021313
filtered_search,{'label_value': 180},0.08641862869262695,0.022664308547973633,0.31941819190979004,0.13045756412192627,0.09676566123962402,0.09270095825195312,0.10480403900146484,0.004785970696763009
aggregation,{'limit': 10},0.01069488525390625,0.0049381256103515625,0.02977895736694336,0.010782778979349374,0.15084943771362305,0.11682581901550293,0.23613333702087402,0.04951850272735199
complex_query,{},0.0455996036529541,0.010190963745117188,0.16435694694519043,0.06669675646810741,0.211745023727417,0.1466059684753418,0.3526179790496826,0.09119352951353668
